compound,neg,neu,pos,Bank,Sentiment
0.5106,0.0,0.769,0.231,Bank of America,pos
0.8934,0.0,0.578,0.422,Bank of America,pos
0.5106,0.0,0.798,0.202,Bank of America,pos
0.836,0.0,0.252,0.748,Bank of America,pos
-0.802,0.362,0.638,0.0,Bank of America,neg
-0.5423,0.313,0.485,0.203,Bank of America,neg
0.7845,0.0,0.275,0.725,Bank of America,pos
0.6486,0.0,0.274,0.726,Bank of America,pos
0.6908,0.0,0.678,0.322,Bank of America,pos
0.8658,0.0,0.642,0.358,Bank of America,pos
0.9477,0.0,0.522,0.478,Bank of America,pos
-0.802,0.286,0.714,0.0,Bank of America,neg
0.6808,0.0,0.823,0.177,Bank of America,pos
-0.7003,0.392,0.608,0.0,Bank of America,neg
-0.5423,0.28,0.72,0.0,Bank of America,neg
0.6249,0.0,0.788,0.212,Bank of America,pos
0.8225,0.0,0.619,0.381,Bank of America,pos
0.8126,0.0,0.641,0.359,Bank of America,pos
-0.8979,0.421,0.579,0.0,Bank of America,neg
-0.5688,0.324,0.57,0.106,Bank of America,neg
0.6369,0.0,0.0,1.0,Bank of America,pos
0.5423,0.0,0.308,0.692,Bank of America,pos
-0.6124,0.283,0.609,0.109,Bank of America,neg
0.872,0.0,0.579,0.421,Bank of America,pos
0.7003,0.0,0.766,0.234,Bank of America,pos
-0.5719,0.425,0.575,0.0,Bank of America,neg
0.7351,0.0,0.733,0.267,Bank of America,pos
0.8834,0.0,0.515,0.485,Bank of America,pos
-0.6369,0.677,0.323,0.0,Bank of America,neg
0.9552,0.091,0.209,0.7,Bank of America,pos
-0.5267,0.221,0.779,0.0,Bank of America,neg
0.9678,0.0,0.465,0.535,Bank of America,pos
0.7351,0.0,0.772,0.228,Bank of America,pos
-0.5423,0.529,0.471,0.0,Bank of America,neg
-0.5423,0.636,0.364,0.0,Bank of America,neg
-0.5267,0.254,0.746,0.0,Bank of America,neg
-0.5267,0.185,0.815,0.0,Bank of America,neg
0.891,0.0,0.487,0.513,Bank of America,pos
-0.7783,0.298,0.702,0.0,Bank of America,neg
-0.5719,0.481,0.519,0.0,Bank of America,neg
0.5859,0.0,0.844,0.156,Bank of America,pos
-0.7717,0.193,0.807,0.0,Bank of America,neg
-0.5574,0.228,0.691,0.081,Bank of America,neg
-0.7964,0.288,0.641,0.071,Bank of America,neg
0.9274,0.0,0.565,0.435,Bank of America,pos
-0.8481,0.325,0.675,0.0,Bank of America,neg
0.765,0.0,0.694,0.306,Bank of America,pos
0.5106,0.0,0.765,0.235,Bank of America,pos
-0.8481,0.325,0.675,0.0,Bank of America,neg
-0.5859,0.241,0.759,0.0,Bank of America,neg
0.5574,0.0,0.735,0.265,Bank of America,pos
-0.5423,0.467,0.533,0.0,Bank of America,neg
-0.7579,0.448,0.552,0.0,Bank of America,neg
0.5106,0.0,0.752,0.248,Bank of America,pos
0.9442,0.0,0.593,0.407,Bank of America,pos
-0.8481,0.539,0.461,0.0,Bank of America,neg
-0.5267,0.216,0.784,0.0,Bank of America,neg
0.5574,0.0,0.833,0.167,Bank of America,pos
0.8591,0.0,0.667,0.333,Bank of America,pos
-0.6249,0.672,0.328,0.0,Bank of America,neg
-0.8591,0.304,0.696,0.0,Bank of America,neg
0.9468,0.0,0.508,0.492,Bank of America,pos
0.7269,0.0,0.621,0.379,Bank of America,pos
-0.8271,0.393,0.508,0.098,Bank of America,neg
0.875,0.0,0.476,0.524,Bank of America,pos
-0.802,0.253,0.656,0.09,Bank of America,neg
0.6597,0.053,0.739,0.208,Bank of America,pos
-0.6249,0.369,0.631,0.0,Bank of America,neg
0.9442,0.0,0.499,0.501,Bank of America,pos
0.743,0.045,0.707,0.248,Bank of America,pos
0.891,0.0,0.43,0.57,Bank of America,pos
0.7269,0.0,0.621,0.379,Bank of America,pos
0.9136,0.0,0.396,0.604,Bank of America,pos
0.8591,0.0,0.604,0.396,Bank of America,pos
-0.802,0.338,0.583,0.079,Bank of America,neg
0.8126,0.0,0.625,0.375,Bank of America,pos
0.7717,0.0,0.675,0.325,Bank of America,pos
-0.7351,0.183,0.75,0.067,Bank of America,neg
0.8271,0.0,0.749,0.251,Bank of America,pos
0.5574,0.0,0.769,0.231,Bank of America,pos
0.5574,0.0,0.753,0.247,Bank of America,pos
0.5574,0.0,0.783,0.217,Bank of America,pos
0.6705,0.0,0.683,0.317,Bank of America,pos
0.5574,0.232,0.404,0.364,Bank of America,pos
0.5574,0.0,0.753,0.247,Bank of America,pos
0.8074,0.071,0.601,0.329,Bank of America,pos
0.6249,0.0,0.687,0.313,Bank of America,pos
0.5574,0.0,0.769,0.231,Bank of America,pos
-0.7783,0.343,0.657,0.0,Bank of America,neg
-0.802,0.305,0.695,0.0,Bank of America,neg
0.5574,0.0,0.833,0.167,Bank of America,pos
-0.8218,0.603,0.397,0.0,Bank of America,neg
0.5574,0.0,0.795,0.205,Bank of America,pos
-0.6486,0.261,0.739,0.0,Bank of America,neg
-0.5423,1.0,0.0,0.0,Bank of America,neg
0.9169,0.0,0.52,0.48,Bank of America,pos
0.5859,0.0,0.625,0.375,Bank of America,pos
0.9136,0.0,0.599,0.401,Bank of America,pos
0.7269,0.0,0.697,0.303,Bank of America,pos
-0.5719,0.188,0.812,0.0,Bank of America,neg
0.5574,0.275,0.344,0.381,Bank of America,pos
0.5574,0.0,0.735,0.265,Bank of America,pos
-0.7783,0.362,0.638,0.0,Bank of America,neg
-0.5267,0.175,0.825,0.0,Bank of America,neg
-0.6908,0.304,0.591,0.105,Bank of America,neg
0.6124,0.121,0.606,0.273,Bank of America,pos
0.5423,0.238,0.35,0.413,Bank of America,pos
-0.8481,0.369,0.631,0.0,Bank of America,neg
0.7269,0.0,0.757,0.243,Bank of America,pos
0.7003,0.0,0.674,0.326,Bank of America,pos
0.7269,0.0,0.797,0.203,Bank of America,pos
0.9382,0.0,0.523,0.477,Bank of America,pos
0.5859,0.085,0.732,0.183,Bank of America,pos
-0.5267,0.183,0.668,0.149,Bank of America,neg
-0.7269,0.404,0.596,0.0,Bank of America,neg
-0.802,0.286,0.714,0.0,Bank of America,neg
-0.5267,0.274,0.726,0.0,Bank of America,neg
-0.7783,0.298,0.702,0.0,Bank of America,neg
-0.8979,0.405,0.595,0.0,Bank of America,neg
0.8225,0.0,0.619,0.381,Bank of America,pos
-0.5267,0.175,0.825,0.0,Bank of America,neg
-0.5994,0.234,0.766,0.0,Bank of America,neg
-0.5267,0.254,0.746,0.0,Bank of America,neg
0.743,0.063,0.664,0.272,Bank of America,pos
-0.8316,0.341,0.659,0.0,Bank of America,neg
0.9393,0.0,0.414,0.586,Bank of America,pos
0.6249,0.0,0.733,0.267,Bank of America,pos
0.5574,0.0,0.753,0.247,Bank of America,pos
0.765,0.0,0.792,0.208,Bank of America,pos
0.9062,0.0,0.634,0.366,Bank of America,pos
0.9231,0.0,0.636,0.364,Bank of America,pos
0.8225,0.037,0.739,0.224,Bank of America,pos
0.9595,0.0,0.471,0.529,Bank of America,pos
0.93,0.0,0.669,0.331,Bank of America,pos
-0.6705,0.268,0.732,0.0,Bank of America,neg
-0.7783,0.343,0.657,0.0,Bank of America,neg
0.6124,0.0,0.828,0.172,Bank of America,pos
-0.7893,0.477,0.364,0.159,Bank of America,neg
-0.5859,0.119,0.881,0.0,Bank of America,neg
-0.6249,0.255,0.745,0.0,Bank of America,neg
-0.8481,0.308,0.525,0.167,Bank of America,neg
-0.5267,0.159,0.841,0.0,Bank of America,neg
0.6249,0.0,0.733,0.267,Bank of America,pos
-0.7351,0.34,0.66,0.0,Bank of America,neg
-0.7783,0.323,0.484,0.194,Bank of America,neg
-0.5423,0.273,0.593,0.134,Bank of America,neg
-0.7102,0.312,0.688,0.0,Bank of America,neg
-0.7783,0.343,0.657,0.0,Bank of America,neg
0.8979,0.048,0.56,0.392,Bank of America,pos
0.5859,0.0,0.714,0.286,Bank of America,pos
0.5719,0.0,0.764,0.236,Bank of America,pos
-0.6249,0.255,0.745,0.0,Bank of America,neg
-0.5859,0.444,0.556,0.0,Bank of America,neg
0.886,0.0,0.764,0.236,Bank of America,pos
-0.8979,0.377,0.623,0.0,Bank of America,neg
-0.6908,0.325,0.574,0.1,Bank of America,neg
0.5574,0.0,0.833,0.167,Bank of America,pos
0.6124,0.0,0.898,0.102,Bank of America,pos
-0.5267,0.355,0.645,0.0,Bank of America,neg
0.6808,0.0,0.728,0.272,Bank of America,pos
-0.6249,0.136,0.864,0.0,Bank of America,neg
-0.5423,0.132,0.868,0.0,Bank of America,neg
0.6597,0.0,0.822,0.178,Bank of America,pos
0.9042,0.0,0.59,0.41,Bank of America,pos
0.5719,0.0,0.812,0.188,Bank of America,pos
-0.765,0.375,0.625,0.0,Bank of America,neg
0.8555,0.0,0.39,0.61,Bank of America,pos
0.7964,0.0,0.776,0.224,Bank of America,pos
0.8555,0.0,0.606,0.394,Bank of America,pos
-0.8979,0.353,0.647,0.0,Bank of America,neg
-0.7783,0.286,0.714,0.0,Bank of America,neg
-0.8979,0.365,0.635,0.0,Bank of America,neg
0.5574,0.0,0.795,0.205,Bank of America,pos
0.5574,0.0,0.795,0.205,Bank of America,pos
0.5574,0.0,0.806,0.194,Bank of America,pos
0.5574,0.0,0.859,0.141,Bank of America,pos
0.6597,0.085,0.692,0.223,Bank of America,pos
-0.8979,0.342,0.658,0.0,Bank of America,neg
-0.8979,0.405,0.595,0.0,Bank of America,neg
0.7351,0.0,0.78,0.22,Bank of America,pos
0.802,0.0,0.69,0.31,Bank of America,pos
-0.7783,0.274,0.726,0.0,Bank of America,neg
-0.7783,0.343,0.657,0.0,Bank of America,neg
-0.5106,0.32,0.68,0.0,Bank of America,neg
-0.7783,0.343,0.657,0.0,Bank of America,neg
-0.7783,0.327,0.673,0.0,Bank of America,neg
0.8271,0.078,0.58,0.341,Bank of America,pos
0.5994,0.0,0.0,1.0,Bank of America,pos
-0.7783,0.327,0.673,0.0,Bank of America,neg
0.5423,0.0,0.83,0.17,Bank of America,pos
0.9136,0.0,0.581,0.419,Bank of America,pos
0.8779,0.0,0.712,0.288,Bank of America,pos
0.5574,0.0,0.735,0.265,Bank of America,pos
0.6597,0.0,0.769,0.231,Bank of America,pos
0.6597,0.0,0.769,0.231,Bank of America,pos
-0.7783,0.694,0.306,0.0,Bank of America,neg
0.6369,0.151,0.559,0.289,Bank of America,pos
-0.8126,0.228,0.772,0.0,Bank of America,neg
0.5267,0.0,0.839,0.161,Bank of America,pos
-0.5423,0.538,0.462,0.0,Bank of America,neg
0.5245,0.0,0.851,0.149,Bank of America,pos
-0.6369,0.504,0.202,0.294,Bank of America,neg
0.9607,0.0,0.599,0.401,Bank of America,pos
-0.7506,0.234,0.766,0.0,Bank of America,neg
-0.7717,0.309,0.691,0.0,Bank of America,neg
-0.7579,0.765,0.235,0.0,Bank of America,neg
0.802,0.0,0.801,0.199,Bank of America,pos
0.5859,0.154,0.482,0.364,Bank of America,pos
0.9618,0.0,0.516,0.484,Bank of America,pos
0.765,0.0,0.783,0.217,Bank of America,pos
-0.5267,0.185,0.815,0.0,Bank of America,neg
0.8779,0.0,0.521,0.479,Bank of America,pos
-0.7184,0.212,0.742,0.047,Bank of America,neg
0.6705,0.0,0.853,0.147,Bank of America,pos
0.7184,0.0,0.75,0.25,Bank of America,pos
0.7184,0.0,0.75,0.25,Bank of America,pos
0.7184,0.0,0.75,0.25,Bank of America,pos
